Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Addisyn,-,-,-,-,-,-,-,-,-,..,-,..,-,-,-,-,..,..,-,-
Addyson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,..
Adebambo,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Adedolapo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Adeena,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Adeina,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adejumoke,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Adel,-,..,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,..,-,..
Adela,-,-,-,-,-,-,..,..,-,-,-,-,-,-,-,..,..,..,-,-
Adelaide,-,-,-,-,-,-,..,-,-,..,-,-,-,-,-,..,..,-,-,-
Adelaina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Adele,3,3,5,5,6,5,4,..,3,..,5,3,..,3,4,..,..,..,4,..
Adeleine,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adelina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,..
Adeline,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,..,..
Adelle,-,-,-,-,-,..,-,..,-,-,-,-,-,-,-,-,..,-,-,..
Adelola,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adelyn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Adelynne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Aderyn,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Adeteniola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Adheena,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Adi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Adia,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,..,-,-,-
Adiah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Adie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Adina,-,-,..,-,-,-,..,-,-,..,-,-,-,-,..,-,-,-,-,-
Aditi,-,-,-,-,-,-,-,-,-,-,..,..,..,-,-,-,-,-,-,-
Aditri,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Adlanta,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Admira,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Adney,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Adonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,-,-,-
Adonna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Adora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Adorna,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Adria,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,..,-,..,..,-
Adriana,-,-,-,-,..,-,..,-,-,-,..,-,..,..,3,..,..,..,..,-
Adrianna,-,..,-,-,..,..,..,..,..,3,..,3,5,-,..,..,3,6,..,4
