Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Adhamhnan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Adharv,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Adhinath,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Adhran,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Adhvik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Adi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Adian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Adiel,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Adil,..,-,-,..,-,-,..,-,-,-,..,-,-,-,-,-,-,..,-,-
Adin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Adinath,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Adit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Adithya,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Aditya,-,-,-,-,-,-,-,-,-,-,..,..,-,-,..,-,-,..,-,-
Adiyan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Adley,-,-,-,-,-,-,-,-,-,-,-,-,..,-,..,-,-,-,-,..
Adnan,-,-,-,-,-,-,..,-,-,-,..,-,-,..,-,-,-,-,-,-
Adomas,-,-,-,-,-,-,-,-,-,..,-,-,-,-,..,..,..,..,-,-
Adon,-,-,-,-,-,-,-,-,-,..,-,-,..,-,-,-,-,-,-,-
Adrea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Adrian,11,5,9,8,3,..,5,7,3,8,5,15,14,15,8,9,5,3,7,8
Adrianas,-,-,-,-,-,-,-,-,-,..,-,-,..,-,-,-,-,..,-,-
Adriano,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Adrians,-,-,-,-,-,-,-,-,..,..,-,..,..,-,-,-,..,-,-,-
Adriel,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,..
Adrijanas,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Adrijus,-,-,-,-,-,-,-,-,-,-,-,..,..,-,-,-,-,-,..,-
Advait,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Advay,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Adyson,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Aebel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,..,-
Aed,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Aedan,3,..,-,-,..,..,3,3,3,..,3,..,3,5,..,4,4,..,..,6
Aedh,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-
Aedhaghan,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aedhan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Aedyn,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,..,-,-,-,-
Aeneas,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aengus,-,-,-,-,..,-,-,-,-,-,-,-,-,..,..,-,-,-,-,-
Aeron,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,..
Aerys,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Affan,-,-,-,-,-,-,-,-,-,-,-,..,-,-,..,-,-,-,-,-
Afonso,-,-,-,-,-,-,-,-,-,-,..,-,-,..,-,..,-,..,..,-
Agam,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-
Ahab,-,..,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Aharon,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,..
Aharshi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Ahead,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Ahmad,-,-,-,-,-,..,..,5,-,-,-,-,-,-,-,-,..,-,-,..
Ahmed,-,..,..,3,4,5,..,3,..,..,..,3,..,-,..,-,3,3,-,4
Ahnas,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-
Ahsan,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Ahyan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,..
Aian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Aibel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Aibhen,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aibhne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Aidan,48,41,40,48,36,51,51,58,47,55,57,57,61,60,73,72,44,36,35,46
Aidanas,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,..
Aidan-Lee,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Aidaras,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Aidas,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,..,-,..,-
Aiden,3,3,4,3,3,4,3,3,5,4,3,12,8,4,18,12,12,13,11,15
Aiden-caius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Aiden-John,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,..,-,-,-,-
Aidon,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-
Aidyn,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Aiham,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ailbe,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,..,..,..,..,..
Ailbhe,..,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,..,-,-,-
Ailfi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Ailill,-,-,-,-,-,-,-,-,-,..,..,-,..,..,-,-,-,-,-,-
Ailin,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aiman,-,-,..,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Aimhirgin,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aimon,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
